paper,form,label,qid,page,flags
eju-2002-2-science-ja,PHYSICS_JA,問3,q_bcb06ab1c70b678f4ede0b33,5,latex_in_text
eju-2002-2-science-ja,PHYSICS_JA,問3,q_cd1f9706ffa2f4fe9963db8e,6,latex_in_text
eju-2002-2-science-ja,PHYSICS_JA,問1,q_497c90e332da10a449d9dca7,7,latex_in_text
eju-2002-2-science-ja,PHYSICS_JA,問2,q_2ab0fffc7e87f11b2035ba18,7,latex_in_text
eju-2002-2-science-ja,PHYSICS_JA,問1,q_243d95348cd42a71e96eec85,10,latex_in_text
eju-2002-2-science-ja,PHYSICS_JA,問2,q_63904ad3ce2e8ddddbad4e3f,10,latex_in_text
eju-2002-2-science-ja,CHEMISTRY_JA,問2,q_bbcce842f62419631ee60f38,12,latex_in_text
eju-2002-2-science-ja,CHEMISTRY_JA,問3,q_03e655c3cf81f897173bcf24,13,latex_in_text
eju-2002-2-science-ja,CHEMISTRY_JA,問5,q_367d2f7a8f217c3cab1731ff,13,latex_in_text
eju-2002-2-science-ja,CHEMISTRY_JA,問6,q_3d73ee6988215182c2dc1ff8,14,latex_in_text;underline_reference
eju-2002-2-science-ja,CHEMISTRY_JA,問8,q_9135953342bf625d0ae0c21b,14,latex_in_text
eju-2002-2-science-ja,CHEMISTRY_JA,問13,q_ff55c6bd66e876f0dd0ea49b,16,latex_in_text
eju-2002-2-science-ja,CHEMISTRY_JA,問14,q_f45c5d13933aacffdd4ea6cd,16,latex_in_text
eju-2002-2-science-ja,CHEMISTRY_JA,問15,q_a47ae67297642fa549dd47c0,17,latex_in_text
eju-2002-2-science-ja,CHEMISTRY_JA,問17,q_8dad40e46b8684b9ce5b7a8f,19,latex_in_text
eju-2002-2-science-ja,BIOLOGY_JA,問2(1),q_aafc67d96ba0c0ce65a9cf9e,23,explicit_figure_reference
eju-2002-2-science-ja,BIOLOGY_JA,問2(2),q_e443810cc604c616f0b2e8aa,23,explicit_figure_reference
eju-2002-2-science-ja,BIOLOGY_JA,問2(3),q_ad48c706379dd08d1dd19daf,23,explicit_figure_reference
eju-2002-2-science-ja,BIOLOGY_JA,問4,q_4947a07a5930991a970ccf43,24,explicit_figure_reference
eju-2002-2-science-ja,BIOLOGY_JA,問5,q_1724cc31465af7cd35a840d5,25,raw_html;duplicate_options
eju-2002-2-science-ja,BIOLOGY_JA,問6,q_35ed06b2983e4b6c4511ec13,25,raw_html;duplicate_options
eju-2003-1-science-ja,PHYSICS_JA,問3,q_3f9351b0013627a17795b83d,3,latex_in_text
eju-2003-1-science-ja,PHYSICS_JA,問4,q_6c2ec332327231779a061ff3,4,latex_in_text
eju-2003-1-science-ja,PHYSICS_JA,問5,q_763cd51acf3e44076cb3fe66,4,latex_in_text
eju-2003-1-science-ja,PHYSICS_JA,問6,q_8006491346ad4dc7648d3ea7,5,latex_in_text
eju-2003-1-science-ja,PHYSICS_JA,問7,q_9f8a7c9b3f9708712edbc643,5,latex_in_text
eju-2003-1-science-ja,PHYSICS_JA,問1,q_2d0ffbe37c28dfce0563f33c,7,latex_in_text
eju-2003-1-science-ja,PHYSICS_JA,問2,q_3a29ca44bfb37af250831254,7,latex_in_text
eju-2003-1-science-ja,PHYSICS_JA,問3,q_707e28be3847d5872ceaa2cf,7,latex_in_text
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(3),q_b13eecefbc30c9918d7169c9,3,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問1(4),q_4343f10d7800a2811478cdd0,3,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(1),q_a225dc21a8b2fbc7acd784be,4,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(2),q_5e960a339cf2c3a898132aae,4,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問2(3),q_98fe5f5c46bba6ada26e9598,4,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問9,q_2d2d50096e0c551db774f514,9,explicit_figure_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問11(1),q_7217b4d496254cd8e20b84ab,11,explicit_figure_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問11(2),q_f18a3c2370cd85034d7b9eca,11,explicit_figure_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問16,q_4d6afbc270443a8cb6fd0077,14,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問17(1),q_b379a8b2f74d61ee6a9283d6,14,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問17(2),q_c11779f74dd7a1976a9a71d4,14,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問18(3),q_e6d1645ab45fbe3d49c0e915,15,underline_reference
eju-2003-2-japan-world-ja,JAPAN_AND_WORLD_JA,問19(2),q_a3fb3cd2006d46079dbd1ac6,17,explicit_figure_reference
eju-2003-2-science-ja,PHYSICS_JA,問1,q_799e1780faac41ec53344a01,2,latex_in_text
eju-2003-2-science-ja,PHYSICS_JA,問1,q_3101cda9fc61cd3ebaa5b937,5,latex_in_text
eju-2003-2-science-ja,PHYSICS_JA,問2,q_ee0f8e524756e1306d1513ba,5,latex_in_text
eju-2003-2-science-ja,PHYSICS_JA,問3,q_ddc5188c9c5506b655d04282,5,latex_in_text
eju-2003-2-science-ja,PHYSICS_JA,問1,q_32b7de4cb6f58d67ed813e60,6,latex_in_text
eju-2003-2-science-ja,PHYSICS_JA,問2,q_5ae7aa902e1829108e2ba207,6,latex_in_text;explicit_figure_reference
